time,X_value,Y_value,Z_value
31.493,5.02591,-7.31413,4.49471
31.595,5.05315,-7.35499,4.38575
31.693,5.02591,-7.28689,4.34489
31.793,5.12125,-7.32775,4.18145
31.914,5.14849,-7.38223,4.29041
31.993,5.08039,-7.36861,4.23593
32.096,5.25745,-7.40947,4.08610
32.194,5.21659,-7.34137,3.99076
32.294,5.51624,-7.50481,4.12697
32.393,5.16211,-7.66826,4.00438
32.495,5.21659,-7.55929,3.97714
32.594,5.17573,-7.57291,3.90904
32.704,5.14849,-7.83170,4.05886
32.798,5.09401,-7.66826,4.12697
32.898,5.05315,-7.64102,4.00438
33.046,4.99867,-7.55929,4.04524
33.098,4.94419,-7.54567,3.97714
33.200,5.02591,-7.87256,4.04524
33.298,4.90333,-7.77722,3.96352
33.399,5.05315,-7.66826,3.54129
33.498,5.06677,-7.68188,3.63663
33.601,5.20297,-7.80446,3.73198
33.699,4.97143,-7.77722,3.89542
33.801,4.99867,-7.73636,3.62301
33.900,5.01229,-7.70912,3.74560
33.999,5.02591,-7.66826,3.74560
34.101,5.06677,-7.66826,3.66387
34.200,5.10763,-7.70912,3.62301
34.299,5.12125,-7.73636,3.55491
34.402,4.86246,-7.62739,3.84094
34.499,5.06677,-7.73636,3.65025
34.602,4.86246,-7.54567,3.54129
34.700,5.25745,-7.54567,3.28250
34.803,5.46176,-7.73636,3.15992
34.901,5.51624,-7.77722,3.09182
35.001,5.46176,-7.83170,2.62873
35.102,5.61158,-7.81808,2.90113
35.201,5.66606,-7.84532,2.50614
35.301,5.66606,-7.76360,2.61511
35.401,5.46176,-8.09049,3.11906
35.501,4.90333,-7.80446,3.15992
35.601,5.14849,-7.80446,3.09182
35.704,5.25745,-8.02238,3.28250
35.802,5.09401,-7.96790,3.25526
35.904,5.09401,-7.99514,3.56853
36.047,4.93057,-7.89980,3.51405
36.102,4.93057,-7.96790,3.54129
36.203,5.09401,-7.69550,3.30974
36.304,4.90333,-8.07687,3.55491
36.405,4.86246,-7.95428,3.65025
36.503,4.97143,-8.00876,3.45957
36.603,5.02591,-7.98152,3.39147
36.703,4.93057,-7.88618,3.47319
36.805,4.95781,-7.98152,3.48681
36.903,4.90333,-8.07687,3.39147
37.007,4.94419,-7.91342,3.41871
37.105,4.98505,-7.98152,3.43233
37.204,5.02591,-7.96790,3.36423
37.304,5.02591,-7.94066,3.26888
37.403,5.17573,-8.02238,3.40509
37.504,4.98505,-7.98152,3.47319
37.603,4.73988,-7.79084,3.47319
37.712,4.80798,-7.77722,3.65025
37.804,4.78074,-8.17221,3.48681
37.906,5.01229,-7.89980,2.87389
