time,X_value,Y_value,Z_value
28.452,-10.20164,-1.60720,3.06458
28.552,-8.70340,-1.64806,2.95562
28.653,-4.91695,-3.97714,2.60149
28.752,-7.89980,-3.54129,1.94771
28.854,-7.58653,-4.08610,1.67530
28.953,-8.60806,-2.95562,2.50614
29.053,-9.01667,-1.22583,3.52767
29.153,-8.39013,-2.47890,4.41299
29.252,-6.60587,-1.51186,7.06896
29.353,-8.11773,-0.59930,7.06896
29.458,-11.52281,-1.86599,7.66826
29.554,-3.67749,-1.60720,6.59225
29.654,-8.29479,1.98857,5.63882
29.753,-8.48548,2.00219,4.90333
29.853,-7.58653,1.44376,5.61158
29.953,-9.64321,3.15992,5.18935
30.053,-6.63311,1.22583,3.67749
30.153,-7.47757,1.47100,3.99076
30.255,-8.39013,0.76274,3.65025
30.354,-8.22669,1.45738,6.17002
30.457,-8.77150,1.72978,7.61377
30.555,-5.29832,1.63444,3.89542
30.655,-6.98724,-0.34051,6.57863
30.768,-6.29260,3.85456,6.41518
30.855,-6.22450,1.41652,6.18364
30.957,-7.13706,4.20869,10.97800
31.073,-6.44242,2.61511,7.66826
31.155,-6.14278,1.15773,8.34927
31.255,-6.31984,1.07601,6.96000
31.359,-6.41518,0.64016,8.06325
31.455,-6.79655,1.83875,6.67397
31.555,-6.45604,0.49033,6.97362
31.658,-6.12916,0.88532,6.97362
31.757,-5.59796,4.29041,12.01315
31.856,-7.42309,2.76493,5.21659
31.957,-8.22669,-0.06810,4.27679
32.074,-9.12563,0.83084,4.42661
32.160,-6.96000,1.51186,3.65025
32.256,-4.84884,0.54481,5.23021
32.356,-7.15068,0.38137,6.74207
32.456,-7.19154,1.44376,6.02019
32.556,-8.28117,1.74340,6.44242
32.657,-8.02238,0.69464,4.64454
32.756,-7.54567,1.15773,4.93057
32.858,-8.37651,-0.24517,3.37785
32.957,-8.22669,-0.61292,5.33918
33.057,-7.28689,1.11687,7.09620
33.156,-6.15640,1.37566,3.82732
33.258,-5.82951,0.09534,4.14059
33.358,-7.96790,1.98857,9.24822
33.457,-6.86466,0.89894,4.26317
33.558,-6.67397,1.53910,6.19726
33.657,-7.34137,1.44376,5.92485
33.758,-6.76931,0.54481,7.09620
33.857,-6.93276,-0.83084,5.70693
33.957,-7.10982,-0.02724,5.23021
34.057,-6.76931,1.38928,6.30622
34.158,-6.51053,1.63444,6.15640
34.267,-6.37432,1.36203,8.40375
34.357,-6.21088,0.99429,8.22669
34.458,-6.37432,1.44376,5.35280
34.559,-7.17792,0.36775,4.18145
34.659,-7.81808,0.76274,4.93057
34.759,-8.03601,1.00791,5.29832
34.859,-7.09620,1.78427,5.43452
34.980,-7.89980,0.69464,6.44242
516.715,-0.89894,1.77065,9.27546
516.799,-0.88532,2.19288,8.63530
516.900,-0.40861,2.39718,9.19374
516.999,-0.40861,2.69683,9.08477
517.099,-0.83084,2.79217,8.48548
517.199,-0.80360,2.91475,8.63530
517.299,-0.80360,3.11906,8.58082
517.399,-1.18497,3.01010,8.86685
517.499,-0.44947,3.45957,8.55358
517.599,0.21793,3.09182,8.90771
517.699,0.21793,3.67749,9.32994
517.799,-0.24517,3.90904,9.45252
517.899,-1.25307,3.96352,8.58082
518.000,-1.49824,4.50834,8.11773
