time,X_value,Y_value,Z_value
42.702,9.72493,-2.45166,-1.86599
42.802,9.42528,-2.36994,-1.68892
42.902,9.49338,-2.32908,-1.77065
43.004,9.60235,-2.34270,-1.66168
43.133,9.52062,-2.28822,-1.72978
43.202,9.45252,-2.31546,-1.74340
43.303,9.50700,-2.32908,-1.64806
43.403,9.47976,-2.30184,-1.67530
43.503,9.84751,-2.22012,-1.67530
43.605,9.58873,-2.34270,-1.59358
43.703,9.61597,-2.38356,-1.45738
43.803,9.58873,-2.30184,-1.41652
43.903,9.43890,-2.38356,-1.74340
44.004,9.52062,-2.31546,-1.47100
44.103,9.57510,-2.24736,-1.67530
44.203,9.53424,-2.36994,-1.63444
44.305,9.42528,-2.32908,-1.62082
44.403,9.62959,-2.27460,-1.67530
44.504,9.60235,-2.24736,-1.67530
44.603,9.57510,-2.42442,-1.67530
44.704,9.54786,-2.36994,-1.70254
44.806,9.60235,-2.30184,-1.71616
44.904,9.50700,-2.28822,-1.68892
45.004,9.46614,-2.27460,-1.72978
45.114,9.52062,-2.28822,-1.66168
45.204,9.47976,-2.34270,-1.66168
45.308,9.54786,-2.35632,-1.63444
45.406,9.71131,-2.12477,-1.93409
45.506,9.50700,-2.19288,-2.24736
45.606,9.50700,-2.27460,-2.23374
45.709,9.50700,-2.32908,-2.30184
45.807,9.42528,-2.27460,-2.23374
45.908,9.42528,-2.27460,-2.15201
46.007,9.39804,-2.19288,-2.28822
46.108,9.37080,-2.24736,-2.39718
46.207,9.54786,-2.57425,-2.45166
46.311,9.26184,-2.00219,-3.14630
46.407,9.92923,-2.50614,-2.90113
46.508,9.42528,-1.85237,-3.06458
46.609,9.24822,-1.57996,-3.41871
46.708,9.28908,-1.83875,-3.32336
46.809,9.62959,-2.08391,-2.95562
46.908,9.50700,-1.74340,-2.41080
47.007,9.65683,-2.22012,-1.64806
47.107,9.57510,-2.08391,-1.81151
47.207,9.62959,-1.96133,-2.02943
47.308,9.54786,-2.00219,-2.11115
47.409,9.60235,-1.96133,-2.01581
47.510,9.54786,-1.97495,-2.00219
47.608,9.52062,-1.96133,-2.15201
47.710,9.39804,-1.93409,-1.67530
47.808,9.57510,-2.31546,-1.06239
47.909,9.62959,-2.46528,-0.91256
48.008,9.57510,-2.57425,-1.04877
48.109,9.54786,-2.80579,-1.04877
48.208,9.31632,-2.41080,-0.64016
48.311,9.61597,-2.45166,-1.04877
48.408,9.60235,-2.19288,-1.41652
48.511,9.61597,-2.28822,-1.34841
48.609,9.57510,-2.16564,-1.28031
48.711,9.64321,-2.19288,-1.29393
48.809,9.52062,-2.23374,-1.23945
48.911,9.67045,-2.20650,-1.22583
49.009,9.65683,-2.36994,-0.77636
49.110,9.58873,-2.31546,-0.80360
49.211,9.67045,-2.39718,-0.84446
49.309,9.42528,-2.42442,-0.95342
49.409,9.47976,-2.57425,-0.78998
49.514,9.58873,-2.50614,-0.74912
49.610,9.62959,-2.19288,-0.80360
49.712,9.65683,-2.54700,-0.80360
49.810,9.67045,-2.96924,-0.38137
49.912,9.72493,-2.65597,-1.02153
50.010,9.56148,-2.46528,-1.02153
50.111,9.61597,-2.76493,-0.92618
50.210,9.19374,-1.77065,-1.08963
50.315,9.64321,-2.68321,0.10896
50.410,9.56148,-2.76493,-0.24517
50.512,9.62959,-2.19288,-0.73550
50.611,9.50700,-1.63444,-0.89894
50.711,9.62959,-1.57996,-0.84446
50.811,9.87475,-1.63444,-0.31327
50.911,10.44681,-2.60149,-0.54481
51.011,8.15859,-0.55843,-5.61158
51.113,8.89409,-0.83084,-4.68540
51.211,9.27546,-0.66740,-3.85456
51.313,9.16649,-0.80360,-4.29041
51.411,9.04391,-0.91256,-4.37213
51.512,8.98943,-0.88532,-4.35851
51.611,8.90771,-0.89894,-4.48109
51.712,8.93495,-0.88532,-4.20869
51.811,9.03029,-0.84446,-4.03162
51.913,8.93495,-0.96704,-4.05886
52.012,8.90771,-0.88532,-4.34489
52.113,8.93495,-0.88532,-4.34489
52.212,9.01667,-1.00791,-4.34489
52.312,9.05753,-0.92618,-4.22231
52.414,8.79874,-0.81722,-4.03162
52.513,8.93495,-0.77636,-3.89542
52.613,9.57510,-2.46528,-3.48681
