time,X_value,Y_value,Z_value
43.372,-6.08830,-0.55843,-7.54567
43.471,-6.25174,-0.65378,-7.47757
43.571,-6.27898,-0.65378,-7.51843
43.671,-6.31984,-0.61292,-7.50481
43.773,-6.08830,-0.38137,-7.31413
43.871,-5.82951,-0.64016,-7.65464
43.974,-6.22450,-0.85808,-7.77722
44.071,-6.18364,-1.11687,-7.66826
44.174,-6.18364,-1.28031,-7.58653
44.274,-6.11554,-1.18497,-7.66826
44.373,-6.06105,-1.22583,-7.77722
44.472,-6.02019,-1.08963,-7.65464
44.573,-6.04743,-1.10325,-7.72274
44.672,-6.53777,-0.87170,-7.47757
44.775,-6.37432,-1.19859,-7.35499
44.872,-6.45604,-1.17135,-7.43671
44.973,-6.31984,-1.15773,-7.47757
45.075,-6.55139,-1.08963,-7.42309
45.173,-6.76931,-1.18497,-6.40156
45.272,-6.93276,-1.37566,-6.48329
45.372,-6.15640,-0.92618,-7.74998
45.476,-4.42661,0.09534,-4.39937
45.573,-5.85675,-1.28031,-7.06896
45.673,-5.81589,-1.10325,-7.73636
45.775,-5.76141,-1.02153,-8.06325
45.873,-5.65244,-0.89894,-8.28117
45.974,-6.22450,-1.02153,-7.89980
46.086,-6.00657,-1.08963,-7.60015
46.173,-6.08830,-1.04877,-7.45033
46.276,-6.34708,-0.42223,-8.18583
46.373,-6.22450,-0.73550,-8.00876
46.475,-5.99295,-1.19859,-7.61377
46.574,-5.92485,-1.08963,-7.69550
46.674,-5.69331,-0.92618,-8.15859
46.774,-5.76141,-0.87170,-7.73636
46.876,-6.12916,-1.08963,-7.69550
46.974,-5.59796,-1.02153,-7.58653
47.074,-4.90333,-0.66740,-7.51843
47.175,-5.80227,-0.91256,-7.62739
47.274,-5.70693,-0.81722,-7.83170
47.377,-5.77503,-1.13049,-7.83170
47.474,-5.61158,-0.89894,-8.10411
47.579,-5.27107,-1.15773,-8.37651
47.677,-6.17002,-1.10325,-7.51843
47.777,-6.02019,-0.53119,-7.02810
47.877,-5.74779,-0.88532,-7.80446
47.977,-5.96571,-0.84446,-7.88618
48.077,-6.10192,-0.80360,-7.70912
48.177,-5.91123,-0.72188,-8.09049
48.281,-6.08830,-0.85808,-7.61377
48.380,-5.97933,-0.62654,-7.60015
48.479,-5.39366,-0.70826,-8.21307
48.580,-6.22450,-0.73550,-7.47757
